customer_id,customer_name,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,churn
AA-10315,Alex Avila,185,5,5563.56,2,2,5,9,Potential Loyalists,1
AA-10375,Allen Armold,20,9,1056.39,5,5,2,12,Loyal Customers,0
AA-10480,Andrew Allen,260,4,1790.5120000000002,1,1,3,5,At Risk,1
AA-10645,Anna Andreadi,56,6,5086.9349999999995,3,3,5,11,Loyal Customers,0
AB-10015,Aaron Bergman,416,3,886.156,1,1,1,3,Lost Customers,1
AB-10060,Adam Bellavance,55,8,7755.62,3,4,5,12,Loyal Customers,0
AB-10105,Adrian Barton,42,10,14473.570999999998,4,5,5,14,Champions,0
AB-10150,Aimee Bixby,42,5,966.71,4,2,2,8,Potential Loyalists,0
AB-10165,Alan Barnes,26,8,1113.838,5,4,2,11,Loyal Customers,0
AB-10255,Alejandro Ballentine,167,9,914.5319999999999,2,5,1,8,Potential Loyalists,1
AB-10600,Ann Blume,51,4,1515.862,4,1,2,7,Potential Loyalists,0
AC-10420,Alyssa Crouse,233,3,925.8,1,1,1,3,Lost Customers,1
AC-10450,Amy Cox,12,7,5527.846,5,3,5,13,Champions,0
AC-10615,Ann Chong,7,5,2537.6859999999997,5,2,3,10,Loyal Customers,0
AC-10660,Anna Chung,283,5,657.316,1,2,1,4,At Risk,1
AD-10180,Alan Dominguez,30,8,6106.88,4,4,5,13,Champions,0
AF-10870,Art Ferguson,42,7,2052.908,4,3,3,10,Loyal Customers,0
AF-10885,Art Foster,416,4,861.565,1,1,1,3,Lost Customers,1
AG-10270,Alejandro Grove,279,5,2582.898,1,2,3,6,At Risk,1
AG-10300,Aleksandra Gannaway,119,4,367.548,2,1,1,4,At Risk,1
AG-10330,Alex Grayson,9,5,660.972,5,2,1,8,Potential Loyalists,0
AG-10390,Allen Goldenen,115,5,200.945,2,2,1,5,At Risk,1
AG-10495,Andrew Gjertsen,79,8,2356.855,3,4,3,10,Loyal Customers,0
AG-10525,Andy Gerbode,846,4,1455.038,1,1,2,4,At Risk,1
AG-10675,Anna Gayman,98,7,3489.0396000000005,3,3,4,10,Loyal Customers,1
AG-10765,Anthony Garverick,78,4,170.584,3,1,1,5,At Risk,0
AG-10900,Arthur Gainer,97,10,4510.797,3,5,5,13,Champions,1
AH-10030,Aaron Hawkins,13,7,1744.7,5,3,3,11,Loyal Customers,0
AH-10075,Adam Hart,35,10,3250.337,4,5,4,13,Champions,0
AH-10120,Adrian Hane,61,7,1735.5140000000001,3,3,2,8,Potential Loyalists,0
AH-10195,Alan Haines,56,4,1587.452,3,1,2,6,At Risk,0
AH-10210,Alan Hwang,7,9,4805.344,5,5,5,15,Champions,0
AH-10465,Amy Hunt,231,5,2495.3916,1,2,3,6,At Risk,1
AH-10585,Angele Hood,22,4,738.504,5,1,1,7,Potential Loyalists,0
AH-10690,Anna Häberlin,411,12,7888.294,1,5,5,11,Loyal Customers,1
AI-10855,Arianne Irving,14,10,4375.786,5,5,5,15,Champions,0
AJ-10780,Anthony Jacobs,76,7,4867.344,3,3,5,11,Loyal Customers,0
AJ-10795,Anthony Johnson,167,7,4501.391,2,3,5,10,Loyal Customers,1
AJ-10945,Ashley Jarboe,86,7,1839.24,3,3,3,9,Potential Loyalists,0
AJ-10960,Astrea Jones,75,3,629.2479999999999,3,1,1,5,At Risk,0
AM-10360,Alice McCarthy,29,5,814.012,4,2,1,7,Potential Loyalists,0
AM-10705,Anne McFarland,163,8,5664.022,2,4,5,11,Loyal Customers,1
AO-10810,Anthony O'Donnell,502,1,161.28,1,1,1,3,Lost Customers,1
AP-10720,Anne Pryor,42,8,1638.554,4,4,2,10,Loyal Customers,0
AP-10915,Arthur Prichep,99,10,3323.556,3,5,4,12,Loyal Customers,1
AR-10345,Alex Russell,112,4,1055.694,2,1,2,5,At Risk,1
AR-10405,Allen Rosenblatt,126,5,2236.128,2,2,3,7,Potential Loyalists,1
AR-10510,Andrew Roberts,15,5,264.86400000000003,5,2,1,8,Potential Loyalists,0
AR-10540,Andy Reiter,7,6,6608.448,5,3,5,13,Champions,0
AR-10570,Anemone Ratner,535,1,88.15,1,1,1,3,Lost Customers,1
AR-10825,Anthony Rawles,59,8,4523.336,3,4,5,12,Loyal Customers,0
AS-10045,Aaron Smayling,89,7,3050.692,3,3,4,10,Loyal Customers,0
AS-10090,Adam Shillingsburg,29,9,3255.31,4,5,4,13,Champions,0
AS-10135,Adrian Shami,42,2,58.82,4,1,1,6,At Risk,0
AS-10225,Alan Schoenberger,23,5,4260.784,5,2,4,11,Loyal Customers,0
AS-10240,Alan Shonely,193,7,584.6080000000001,2,3,1,6,At Risk,1
AS-10285,Alejandro Savely,20,6,3214.236,5,3,4,12,Loyal Customers,0
AS-10630,Ann Steele,93,7,833.398,3,3,1,7,Potential Loyalists,1
AT-10435,Alyssa Tate,22,6,1171.814,5,3,2,10,Loyal Customers,0
AT-10735,Annie Thurman,14,10,3831.864,5,5,4,14,Champions,0
AW-10840,Anthony Witt,21,4,649.376,5,1,1,7,Potential Loyalists,0
AW-10930,Arthur Wiediger,47,7,2852.968,4,3,4,11,Loyal Customers,0
AY-10555,Andy Yotov,15,4,497.014,5,1,1,7,Potential Loyalists,0
AZ-10750,Annie Zypern,161,6,1622.0179999999998,2,3,2,7,Potential Loyalists,1
BB-10990,Barry Blumstein,106,5,744.3399999999999,2,2,1,5,At Risk,1
BB-11545,Brenda Bowman,29,9,6765.728,4,5,5,14,Champions,0
BC-11125,Becky Castell,203,9,2933.676,2,5,4,11,Loyal Customers,1
